Name,Created at,Cancelled at,Lineitem name,Lineitem quantity,Lineitem price,Lineitem discount,Financial Status,Fulfillment Status,Subtotal,Total Discount,Shipping,Taxes,Total,Currency,Customer Email,Billing Name,Shipping Province,Shipping Country
#3742,2024-10-25 12:43:00,,Light Jacket 01,1,79.0,2.37,paid,fulfilled,154.0,4.71,0.0,10.25,159.54,USD,qvrbsswbcl301@brand.com,Customer 301,FL,United States
#3812,2025-07-01 08:11:00,,Classic Tee 01,1,22.0,0.0,paid,fulfilled,22.0,0.0,4.99,2.52,29.51,USD,eagaezujkp50@gmail.com,Customer 50,NSW,Australia
#3915,2025-07-29 20:43:00,,Foam Cleanser F,3,21.0,0.0,paid,partial,63.0,0.0,0.0,4.54,67.54,USD,laeruxeli162@brand.com,Customer 162,TX,United States
#3798,2025-07-02 23:15:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,79.0,0.0,0.0,7.11,86.11,USD,fpyjrg301@hotmail.com,Customer 301,TX,United States
#3669,2025-02-04 10:21:00,,Hydra Cream B,1,49.0,10.86,paid,fulfilled,49.0,10.86,0.0,3.43,41.57,USD,vopoidjr289@brand.com,Customer 289,TX,United States
#3939,2025-08-16 05:30:00,,Glow Oil L,3,35.0,0.0,paid,fulfilled,217.0,0.0,9.99,20.36,247.35,USD,dwuhutopcg301@yahoo.com,Customer 301,CA,United States
#3776,2024-12-15 02:57:00,,Leggings 01,1,49.0,3.49,paid,fulfilled,49.0,3.49,9.99,11.04,66.54,USD,cxmolpu200@gmail.com,Customer 200,ENG,United Kingdom
#3679,2025-08-12 04:09:00,,Classic Tee 01,2,22.0,0.0,paid,partial,66.0,0.0,6.99,6.47,79.46,USD,krglht301@brand.com,Customer 301,TX,United States
#3653,2025-02-04 21:03:00,,Socks 3-Pack,1,14.0,0.0,paid,unfulfilled,124.0,0.0,0.0,14.0,138.0,USD,epqmcjir326@yahoo.com,Customer 326,VIC,Australia
#3968,2025-06-16 02:08:00,,Classic Tee 01,2,22.0,0.0,paid,partial,44.0,0.0,0.0,8.69,52.69,USD,fnuwyqzsh53@hotmail.com,Customer 53,ENG,United Kingdom
#3828,2025-02-15 11:35:00,,Revive Mask M,1,29.0,6.11,paid,partial,78.0,16.83,4.99,11.68,77.84,USD,aupkgzpr301@yahoo.com,Customer 301,VIC,Australia
#3878,2025-01-02 02:20:00,2025-01-13 02:20:00,Hoodie 01,1,55.0,3.51,refunded,fulfilled,140.0,9.63,0.0,8.99,0.0,USD,xqjcqtdfs301@yahoo.com,Customer 301,IL,United States
#3657,2025-08-08 02:49:00,,Cap 01,1,19.0,0.0,paid,fulfilled,19.0,0.0,0.0,1.24,20.24,USD,hjdnou200@yahoo.com,Customer 200,IL,United States
#3676,2025-05-31 20:06:00,,Shorts 01,1,35.0,0.0,paid,unfulfilled,152.0,0.0,0.0,9.38,161.38,USD,gpnkii301@hotmail.com,Customer 301,NY,United States
#4143,2025-05-28 02:02:00,,Revive Mask M,3,29.0,0.0,paid,fulfilled,166.0,0.0,4.99,15.0,185.99,USD,phqkgorcd301@yahoo.com,Customer 301,CA,United States
#4001,2025-02-03 20:16:00,,Foam Cleanser F,2,21.0,0.0,partially_refunded,fulfilled,42.0,0.0,4.99,3.54,39.21,USD,sgeghlq301@hotmail.com,Customer 301,TX,United States
#3928,2024-12-16 19:15:00,,Socks 3-Pack,1,14.0,2.07,paid,fulfilled,118.0,16.44,0.0,9.4,110.96,USD,swvvsnjp301@hotmail.com,Customer 301,FL,United States
#4096,2025-01-24 15:32:00,,Hydra Cream B,2,49.0,0.0,paid,fulfilled,98.0,0.0,4.99,8.56,111.55,USD,nrjjmylx167@gmail.com,Customer 167,ON,Canada
#3661,2024-11-29 14:42:00,,Light Jacket 01,1,79.0,0.0,paid,fulfilled,79.0,0.0,0.0,5.68,84.68,USD,umbtfrrk301@hotmail.com,Customer 301,BC,Canada
#4114,2024-10-02 09:41:00,,Classic Tee 01,1,22.0,0.0,paid,fulfilled,98.0,0.0,4.99,6.95,109.94,USD,moonejtyda289@hotmail.com,Customer 289,FL,United States
#3734,2025-01-04 15:15:00,,Revive Mask M,1,29.0,0.0,partially_refunded,fulfilled,99.0,0.0,6.99,6.62,98.35,USD,zhoynxvd289@brand.com,Customer 289,TX,United States
#4136,2025-07-16 12:12:00,,Revive Mask M,1,29.0,2.1,paid,fulfilled,29.0,2.1,0.0,1.94,28.84,USD,mhczomxnga167@brand.com,Customer 167,BC,Canada
#4120,2024-12-04 00:11:00,,Revive Mask M,3,29.0,0.0,paid,fulfilled,87.0,0.0,0.0,6.55,93.55,USD,slykco301@gmail.com,Customer 301,WA,United States
#3914,2024-11-06 10:55:00,,Shorts 01,1,35.0,0.0,partially_refunded,fulfilled,35.0,0.0,6.99,4.57,37.67,USD,frmgiwoya326@brand.com,Customer 326,VIC,Australia
#3939,2025-08-16 05:30:00,,Radiance Serum A,1,39.0,0.0,paid,fulfilled,217.0,0.0,9.99,20.36,247.35,USD,cweuhtrdm301@brand.com,Customer 301,CA,United States
#4008,2025-02-28 04:05:00,,Repair Eye Gel G,1,45.0,3.21,paid,fulfilled,70.0,5.04,4.99,10.73,80.68,USD,lxcqccdba229@yahoo.com,Customer 229,ENG,United Kingdom
#4148,2025-07-18 03:12:00,,Socks 3-Pack,1,14.0,0.95,paid,fulfilled,64.0,4.67,0.0,4.03,63.36,USD,bqbcoz301@yahoo.com,Customer 301,NY,United States
#3990,2025-01-28 11:28:00,,Classic Tee 01,2,22.0,0.0,refunded,unfulfilled,44.0,0.0,0.0,3.49,0.0,USD,izqher301@yahoo.com,Customer 301,TX,United States
#3884,2025-08-03 20:12:00,,Revive Mask M,4,29.0,0.0,paid,fulfilled,116.0,0.0,0.0,8.28,124.28,USD,ctwjfmm167@brand.com,Customer 167,WA,United States
#4091,2024-11-15 18:04:00,,Starter Kit C,1,79.0,0.0,paid,unfulfilled,189.0,0.0,4.99,14.12,208.11,USD,zwrdmgt200@brand.com,Customer 200,IL,United States
#4097,2025-07-05 04:22:00,,Hydra Cream B,1,49.0,0.0,paid,unfulfilled,49.0,0.0,0.0,4.08,53.08,USD,upjqxwbv200@yahoo.com,Customer 200,ON,Canada
#4033,2024-09-14 09:18:00,,Cap 01,2,19.0,0.0,paid,fulfilled,38.0,0.0,9.99,2.95,50.94,USD,vamqmjqija301@yahoo.com,Customer 301,IL,United States
#3985,2025-03-25 14:17:00,,Foam Cleanser F,1,21.0,0.0,paid,fulfilled,68.0,0.0,0.0,11.27,79.27,USD,xlgflje301@hotmail.com,Customer 301,NSW,Australia
#3980,2024-10-26 02:38:00,,Premium Tee 02,1,28.0,2.82,paid,partial,107.0,11.54,0.0,15.4,110.86,USD,fmtvujkvaa301@hotmail.com,Customer 301,NSW,Australia
#4027,2024-10-29 16:07:00,,Premium Tee 02,2,28.0,0.0,paid,fulfilled,70.0,0.0,0.0,9.3,79.3,USD,icxudu301@hotmail.com,Customer 301,VIC,Australia
#4037,2024-09-27 01:47:00,,Glow Oil L,1,35.0,3.85,paid,unfulfilled,60.0,5.98,0.0,4.06,58.08,USD,gdngtwzgv301@yahoo.com,Customer 301,CA,United States
#3842,2025-02-24 02:04:00,,Light Jacket 01,1,79.0,14.58,paid,fulfilled,79.0,14.58,0.0,8.82,73.24,USD,rxjchwkz326@gmail.com,Customer 326,VIC,Australia
#4188,2025-05-04 05:41:00,,Glow Oil L,1,35.0,0.0,refunded,unfulfilled,35.0,0.0,4.99,3.56,0.0,USD,ywiohi301@gmail.com,Customer 301,QC,Canada
#3992,2024-08-31 02:12:00,,Clarifying Toner X,1,25.0,8.62,paid,fulfilled,283.0,79.89,0.0,13.76,216.87,USD,bkunxwlot301@hotmail.com,Customer 301,ON,Canada
#4105,2025-02-28 19:39:00,,Premium Tee 02,1,28.0,0.0,paid,unfulfilled,28.0,0.0,0.0,1.73,29.73,USD,ljqaec301@brand.com,Customer 301,CA,United States
#4206,2024-11-01 16:34:00,,Hoodie 01,1,55.0,3.47,paid,fulfilled,55.0,3.47,0.0,3.39,54.92,USD,gjfydks301@yahoo.com,Customer 301,NY,United States
#3632,2025-01-04 06:26:00,,Hoodie 01,1,55.0,0.0,paid,fulfilled,134.0,0.0,9.99,9.95,153.94,USD,mxvclhauqg301@brand.com,Customer 301,QC,Canada
#3637,2025-04-01 08:49:00,,Light Jacket 01,3,79.0,0.0,paid,fulfilled,237.0,0.0,9.99,16.76,263.75,USD,iwshikkhdk301@brand.com,Customer 301,TX,United States
#4162,2024-09-03 08:56:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,169.0,0.0,0.0,26.43,195.43,USD,tnkenddm301@hotmail.com,Customer 301,NSW,Australia
#3627,2025-02-09 16:55:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,232.0,0.0,0.0,19.43,251.43,USD,bwycmbt200@yahoo.com,Customer 200,TX,United States
#3721,2024-11-16 17:46:00,,Hoodie 01,2,55.0,10.9,paid,fulfilled,257.0,25.38,0.0,38.3,269.92,USD,egvkxitd301@gmail.com,Customer 301,ENG,United Kingdom
#3929,2025-06-29 20:19:00,,Classic Tee 01,1,22.0,0.0,paid,fulfilled,129.0,0.0,6.99,9.93,145.92,USD,ruimtgrvuf200@brand.com,Customer 200,FL,United States
#4004,2024-10-02 19:39:00,,Premium Tee 02,1,28.0,0.0,paid,fulfilled,138.0,0.0,0.0,10.81,148.81,USD,sqjbklgmxj200@gmail.com,Customer 200,IL,United States
#4058,2025-08-20 21:40:00,,Socks 3-Pack,2,14.0,1.08,paid,fulfilled,28.0,1.08,9.99,3.3,40.21,USD,vvmiqveuqf230@gmail.com,Customer 230,NY,United States
#3803,2024-12-21 22:45:00,,Hoodie 01,1,55.0,7.55,paid,fulfilled,221.0,31.07,4.99,16.19,211.11,USD,depvrki301@gmail.com,Customer 301,BC,Canada
#3698,2025-02-25 17:51:00,,Light Jacket 01,1,79.0,0.0,paid,fulfilled,114.0,0.0,6.99,9.96,130.95,USD,fbmnsujvgo301@gmail.com,Customer 301,IL,United States
#3781,2024-10-30 03:29:00,,Light Jacket 01,2,79.0,0.0,paid,fulfilled,158.0,0.0,0.0,10.95,168.95,USD,vvitps301@hotmail.com,Customer 301,BC,Canada
#4179,2025-05-09 17:21:00,,Radiance Serum A,1,39.0,0.0,paid,fulfilled,142.0,0.0,4.99,13.36,160.35,USD,pqtzgkh301@yahoo.com,Customer 301,QC,Canada
#3903,2024-11-09 15:29:00,,Socks 3-Pack,1,14.0,0.0,paid,fulfilled,14.0,0.0,4.99,1.48,20.47,USD,hsjnjddh301@brand.com,Customer 301,WA,United States
#3879,2025-04-20 03:50:00,,Repair Eye Gel G,1,45.0,0.0,paid,unfulfilled,70.0,0.0,4.99,5.73,80.72,USD,cpqbfi200@brand.com,Customer 200,TX,United States
#4154,2025-07-03 15:53:00,,Glow Oil L,2,35.0,0.0,paid,fulfilled,112.0,0.0,4.99,10.05,127.04,USD,icjxem301@hotmail.com,Customer 301,WA,United States
#4189,2025-06-26 07:09:00,,Hydra Cream B,2,49.0,19.2,paid,fulfilled,98.0,19.2,4.99,15.73,99.52,USD,nuwcxp167@yahoo.com,Customer 167,NSW,Australia
