order_id,created_at,Cancelled at,lineitem_name,lineitem_quantity,lineitem_price,lineitem_discount,Financial Status,Fulfillment Status,Subtotal,total_discount,Shipping,Taxes,total,Currency,customer_email,Billing Name,Shipping Province,Shipping Country,AOV_sub,AOV_Tot,last28,,
#8047,3/29/25 17:03,,Shorts 01,1,35,0,paid,fulfilled,35,0,0,5.54,40.54,USD,ljffyadt173@hotmail.com,Customer 2173,NSW,Australia,35,40.54,FALSE,,
#9286,10/8/24 3:19,,Revive Mask M,1,29,0,paid,fulfilled,29,0,6.99,5.12,41.11,USD,ufzghh173@hotmail.com,Customer 2173,VIC,Australia,29,41.11,FALSE,,
#5962,8/15/25 20:53,,Clarifying Toner X,1,25,5.54,paid,fulfilled,95,19.54,0,8.61,84.07,USD,uimlug937@yahoo.com,Customer 937,ENG,United Kingdom,75.46,84.07,TRUE,,
#11521,8/19/25 14:09,,Light Jacket 01,1,79,0,paid,partial,79,0,0,7.08,86.08,USD,kmegzymg173@gmail.com,Customer 2173,CA,United States,79,86.08,TRUE,,
#8822,5/21/25 16:23,,Hydra Cream B,1,49,0,paid,fulfilled,128,0,0,10.2,138.2,USD,zxpstg173@brand.com,Customer 2173,ON,Canada,128,138.2,FALSE,,
#3949,12/24/24 20:40,,Leggings 01,1,49,0,paid,unfulfilled,49,0,4.99,5,58.99,USD,fnkzki173@gmail.com,Customer 2173,QC,Canada,49,58.99,FALSE,,
#2753,12/7/24 13:15,,Hoodie 01,1,55,0,paid,fulfilled,214,0,4.99,18.3,237.29,USD,anvnio173@brand.com,Customer 2173,TX,United States,214,237.29,FALSE,,
#4450,6/9/25 0:05,,Light Jacket 01,2,79,0,paid,fulfilled,229,0,0,19.66,248.66,USD,iwufmmtdf173@yahoo.com,Customer 2173,ON,Canada,229,248.66,FALSE,,
#7908,4/16/25 22:32,,Foam Cleanser F,1,21,0,paid,fulfilled,133,0,4.99,12.65,150.64,USD,pymlvmiuzz173@gmail.com,Customer 2173,FL,United States,133,150.64,FALSE,,
#4465,2/28/25 13:17,,Radiance Serum A,1,39,0,paid,fulfilled,152,0,4.99,14.63,171.62,USD,zwcnqqgoaa173@brand.com,Customer 2173,IL,United States,152,171.62,FALSE,,
#12342,2/18/25 10:48,,Radiance Serum A,1,39,6.65,paid,fulfilled,79,14.67,4.99,7.72,77.04,USD,mtwcfse340@gmail.com,Customer 3340,VIC,Australia,64.33,77.04,FALSE,,
#10309,12/17/24 6:23,,Leggings 01,1,49,0,paid,fulfilled,77,0,6.99,11.62,95.61,USD,uqrhadlo173@yahoo.com,Customer 2173,NSW,Australia,77,95.61,FALSE,,
#4629,6/9/25 9:54,,Light Jacket 01,1,79,0,paid,fulfilled,187,0,4.99,34.53,226.52,USD,oeblmnc173@hotmail.com,Customer 2173,NSW,Australia,187,226.52,FALSE,,
#9653,6/22/25 3:49,,Socks 3-Pack,1,14,0,paid,fulfilled,33,0,4.99,3.03,41.02,USD,fbrrjrpiv340@hotmail.com,Customer 3340,TX,United States,,41.02,FALSE,,
#11240,7/24/25 2:19,,Light Jacket 01,1,79,0,paid,unfulfilled,79,0,4.99,5.53,89.52,USD,fkxhkljccj340@yahoo.com,Customer 3340,NY,United States,79,89.52,FALSE,,
#6454,11/23/24 6:05,,Hoodie 01,1,55,0,paid,fulfilled,276,0,0,19.88,295.88,USD,usnzylno173@brand.com,Customer 2173,ON,Canada,276,295.88,FALSE,,
#4923,7/24/25 19:53,,Hydra Cream B,3,49,50.4,paid,fulfilled,185,59.73,0,24.16,149.43,USD,tpvknhw173@gmail.com,Customer 2173,ENG,United Kingdom,125.27,149.43,FALSE,,
#12184,11/29/24 13:52,,Light Jacket 01,1,79,0,paid,partial,221,0,4.99,21.42,247.41,USD,ozuysu173@hotmail.com,Customer 2173,ON,Canada,221,247.41,FALSE,,
#11242,6/5/25 2:28,,Hydra Cream B,2,49,24.91,partially_refunded,fulfilled,234,71.74,6.99,15.16,104.38,USD,bsyrcebyt173@yahoo.com,Customer 2173,FL,United States,162.26,104.38,FALSE,,
#10602,1/7/25 18:49,,Radiance Serum A,2,39,0,paid,fulfilled,236,0,9.99,15.62,261.61,USD,vsrdlbhl173@brand.com,Customer 2173,WA,United States,236,261.61,FALSE,,
#11562,2/22/25 5:34,,Revive Mask M,1,29,0,paid,fulfilled,29,0,0,1.98,30.98,USD,ccsznta173@gmail.com,Customer 2173,BC,Canada,29,30.98,FALSE,,
#11459,12/2/24 16:36,,Classic Tee 01,2,22,0,paid,fulfilled,65,0,0,5.08,70.08,USD,hiozswro57@yahoo.com,Customer 3057,BC,Canada,65,70.08,FALSE,,
#7401,6/3/25 13:13,,Cap 01,1,19,0,paid,fulfilled,19,0,9.99,2.96,31.95,USD,whorexa173@brand.com,Customer 2173,NSW,Australia,19,31.95,FALSE,,
#9439,9/30/24 4:09,,Clarifying Toner X,1,25,0,paid,fulfilled,25,0,0,1.81,26.81,USD,agvihy173@hotmail.com,Customer 2173,WA,United States,25,26.81,FALSE,,
#4280,11/25/24 12:30,,Socks 3-Pack,1,14,0,paid,fulfilled,189,0,0,11.93,200.93,USD,ouyrztcz173@brand.com,Customer 2173,TX,United States,189,200.93,FALSE,,
#3712,12/15/24 2:08,,Hoodie 01,1,55,0,paid,fulfilled,55,0,0,4.41,59.41,USD,kqgfdf173@yahoo.com,Customer 2173,NY,United States,55,59.41,FALSE,,
#6380,3/5/25 15:28,,Repair Eye Gel G,1,45,0,paid,fulfilled,124,0,4.99,9.36,138.35,USD,naatxqmqfl173@hotmail.com,Customer 2173,CA,United States,124,138.35,FALSE,,
#9314,9/9/24 15:28,,Shorts 01,1,35,0,paid,fulfilled,109,0,6.99,7.57,123.56,USD,hzdjmgln471@brand.com,Customer 1471,QC,Canada,109,123.56,FALSE,,
#12449,7/26/25 18:37,,Leggings 01,1,49,7.77,paid,fulfilled,87,12.95,6.99,15.72,96.76,USD,ynpmlc173@brand.com,Customer 2173,ENG,United Kingdom,74.05,96.76,FALSE,,
#8108,3/9/25 15:28,,Premium Tee 02,1,28,0,paid,fulfilled,156,0,0,14.63,170.63,USD,ikjiedee173@hotmail.com,Customer 2173,CA,United States,156,170.63,FALSE,,
#8717,10/13/24 5:40,,Hydra Cream B,2,49,0,paid,unfulfilled,98,0,9.99,10.7,118.69,USD,dlipncxk173@hotmail.com,Customer 2173,ENG,United Kingdom,98,118.69,FALSE,,
#4255,3/16/25 11:17,,Hoodie 01,2,55,14.28,paid,fulfilled,173,21.35,4.99,10.5,167.14,USD,mzfewzmq173@hotmail.com,Customer 2173,QC,Canada,151.65,167.14,FALSE,,
#2731,11/15/24 21:14,,Cap 01,2,19,0,paid,fulfilled,94,0,6.99,7.59,108.58,USD,vomiyuadyx173@hotmail.com,Customer 2173,ON,Canada,94,108.58,FALSE,,
#8486,8/25/25 4:20,,Premium Tee 02,1,28,0,paid,fulfilled,28,0,6.99,4.07,39.06,USD,kmjkuvdt820@brand.com,Customer 1820,ENG,United Kingdom,28,39.06,TRUE,,
#6445,10/19/24 7:13,,Leggings 01,1,49,0,paid,unfulfilled,207,0,4.99,13.07,225.06,USD,nazxaifrkw173@yahoo.com,Customer 2173,CA,United States,207,225.06,FALSE,,
#7253,8/4/25 16:48,,Glow Oil L,1,35,3.37,paid,fulfilled,35,3.37,6.99,2.48,41.1,USD,epbhtts937@hotmail.com,Customer 937,BC,Canada,31.63,41.1,FALSE,,
#7311,4/19/25 12:59,,Cap 01,1,19,0,paid,fulfilled,249,0,0,16.44,265.44,USD,ltjgcgkkvn173@yahoo.com,Customer 2173,BC,Canada,249,265.44,FALSE,,
#11754,1/16/25 0:12,,Leggings 01,3,49,35.05,paid,fulfilled,352,78.88,4.99,17.28,295.39,USD,kxkrxs820@gmail.com,Customer 1820,ON,Canada,273.12,295.39,FALSE,,
#12502,1/24/25 16:05,,Cap 01,1,19,0,paid,unfulfilled,77,0,0,7.2,84.2,USD,jxrhzvhy173@brand.com,Customer 2173,WA,United States,77,84.2,FALSE,,
#5036,1/18/25 7:20,,Premium Tee 02,1,28,0,paid,fulfilled,428,0,0,39.48,467.48,USD,jxmaxhi173@yahoo.com,Customer 2173,TX,United States,428,467.48,FALSE,,
#6609,8/15/25 15:40,,Cap 01,1,19,0,paid,fulfilled,19,0,4.99,2.96,26.95,USD,svidkq173@yahoo.com,Customer 2173,NSW,Australia,19,26.95,TRUE,,
#9771,2/3/25 9:53,,Socks 3-Pack,1,14,5.07,paid,fulfilled,49,13.37,4.99,4.77,45.39,USD,ucxzmf173@yahoo.com,Customer 2173,NSW,Australia,35.63,45.39,FALSE,,
#4306,9/12/24 13:11,,Leggings 01,1,49,0,paid,fulfilled,314,0,9.99,56.5,380.49,USD,inhucuwiy173@yahoo.com,Customer 2173,NSW,Australia,314,380.49,FALSE,,
#9235,12/5/24 23:37,,Socks 3-Pack,1,14,1.3,paid,fulfilled,63,5.54,0,5.33,62.79,USD,akfxyiz173@hotmail.com,Customer 2173,NY,United States,57.46,62.79,FALSE,,
