Name,Created at,Cancelled at,Lineitem name,Lineitem quantity,Lineitem price,Lineitem discount,Financial Status,Fulfillment Status,Subtotal,Total Discount,Shipping,Taxes,Total,Currency,Customer Email,Billing Name,Shipping Province,Shipping Country
#2208,2024-09-17 15:49:00,,Starter Kit C,3,79.0,0.0,paid,fulfilled,350.0,0.0,4.99,28.61,383.6,USD,amovhe8@hotmail.com,Customer 8,CA,United States
#2396,2025-05-06 10:17:00,,Shorts 01,1,35.0,0.0,paid,fulfilled,84.0,0.0,0.0,5.13,89.13,USD,ogsyxjdm8@gmail.com,Customer 8,QC,Canada
#1488,2024-10-15 15:14:00,,Premium Tee 02,1,28.0,0.0,paid,partial,57.0,0.0,0.0,4.46,61.46,USD,cjnsvsvn147@gmail.com,Customer 1147,FL,United States
#1423,2025-03-10 19:29:00,,Socks 3-Pack,1,14.0,0.0,paid,fulfilled,159.0,0.0,0.0,11.67,170.67,USD,orpizdmz147@brand.com,Customer 1147,TX,United States
#2784,2024-10-11 16:25:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,98.0,0.0,9.99,12.56,120.55,USD,edgxpql147@yahoo.com,Customer 1147,NSW,Australia
#1401,2025-05-01 07:12:00,,Leggings 01,2,49.0,0.0,paid,fulfilled,98.0,0.0,4.99,6.89,109.88,USD,kthloxkbsn8@brand.com,Customer 8,NY,United States
#1772,2025-05-15 15:27:00,,Clarifying Toner X,2,25.0,6.96,paid,fulfilled,50.0,6.96,6.99,9.66,59.69,USD,lufdlgxad384@brand.com,Customer 384,ENG,United Kingdom
#1341,2025-07-18 13:09:00,,Socks 3-Pack,2,14.0,0.0,paid,fulfilled,203.0,0.0,0.0,14.02,217.02,USD,svmgtztrlu147@hotmail.com,Customer 1147,TX,United States
#2863,2025-01-24 03:30:00,,Starter Kit C,1,79.0,0.0,paid,fulfilled,79.0,0.0,0.0,6.7,85.7,USD,ufcokiolx147@hotmail.com,Customer 1147,NY,United States
#1248,2025-02-08 04:05:00,,Hoodie 01,1,55.0,2.09,paid,fulfilled,233.0,8.61,4.99,29.39,258.77,USD,sfmpisanim8@brand.com,Customer 8,ENG,United Kingdom
#2072,2024-10-23 22:53:00,,Classic Tee 01,1,22.0,0.0,paid,fulfilled,217.0,0.0,0.0,14.57,231.57,USD,nspxxzed8@brand.com,Customer 8,FL,United States
#2462,2025-05-19 15:13:00,,Cap 01,1,19.0,2.7,paid,fulfilled,19.0,2.7,0.0,1.38,17.68,USD,msjivztuqe147@gmail.com,Customer 1147,WA,United States
#1173,2025-07-12 23:39:00,,Hoodie 01,1,55.0,6.9,paid,fulfilled,97.0,11.2,0.0,5.64,91.44,USD,hwxdyi8@yahoo.com,Customer 8,WA,United States
#1767,2025-03-21 14:42:00,,Repair Eye Gel G,3,45.0,0.0,paid,fulfilled,407.0,0.0,0.0,28.43,435.43,USD,lgzgkg147@gmail.com,Customer 1147,NY,United States
#1823,2025-07-30 14:01:00,,Repair Eye Gel G,2,45.0,0.0,paid,fulfilled,218.0,0.0,6.99,20.93,245.92,USD,aechcl236@hotmail.com,Customer 1236,IL,United States
#2869,2024-09-30 15:14:00,,Clarifying Toner X,1,25.0,1.85,paid,fulfilled,142.0,8.42,6.99,21.77,162.34,USD,mgxdken8@hotmail.com,Customer 8,NSW,Australia
#1791,2025-06-25 19:29:00,,Socks 3-Pack,1,14.0,0.0,paid,fulfilled,14.0,0.0,0.0,0.99,14.99,USD,pmxgym8@hotmail.com,Customer 8,CA,United States
#1769,2025-04-02 21:35:00,,Revive Mask M,1,29.0,0.0,refunded,fulfilled,176.0,0.0,0.0,15.87,0.0,USD,tdqscfe8@brand.com,Customer 8,VIC,Australia
#1951,2024-10-27 18:59:00,,Shorts 01,1,35.0,0.0,paid,partial,35.0,0.0,6.99,3.52,45.51,USD,wxmbbbt8@hotmail.com,Customer 8,NY,United States
#3548,2025-02-22 18:21:00,,Light Jacket 01,1,79.0,0.0,paid,unfulfilled,79.0,0.0,9.99,5.89,94.88,USD,xbqiqg8@yahoo.com,Customer 8,ON,Canada
#2025,2025-04-06 06:31:00,,Foam Cleanser F,2,21.0,0.0,paid,fulfilled,207.0,0.0,0.0,24.11,231.11,USD,npzgcli147@hotmail.com,Customer 1147,VIC,Australia
#2968,2024-11-01 20:20:00,,Repair Eye Gel G,1,45.0,0.0,paid,fulfilled,74.0,0.0,0.0,4.82,78.82,USD,qsjsqzns480@hotmail.com,Customer 480,FL,United States
#1567,2024-11-25 22:54:00,,Leggings 01,1,49.0,0.0,paid,fulfilled,98.0,0.0,9.99,9.38,117.37,USD,twnfsjmecu147@yahoo.com,Customer 1147,BC,Canada
#2410,2025-08-01 04:25:00,,Socks 3-Pack,1,14.0,0.0,paid,fulfilled,14.0,0.0,0.0,1.13,15.13,USD,cjgsexgp8@yahoo.com,Customer 8,WA,United States
#1458,2024-09-08 23:34:00,,Leggings 01,1,49.0,7.0,paid,fulfilled,104.0,12.76,4.99,6.54,102.77,USD,myygeeukzc147@yahoo.com,Customer 1147,NY,United States
